Attore,Evento,Anno,Relazione,Data_old,Data_flat,Luogo_CORRETTO,città_CORRETTA,"Luogo, città _ORIGINALE",LENGHT
Maria Grazia Grassini,Zip Lap Tip Vap Mam Crep Scap Plip Trip Scrap e la Grande Mam,1965,recitato in,30 September 1965,30 September 1965,Biennale di Venezia,Venezia,"Biennale di Venezia, Venezia",19
Stefano Angeloni,Blu oltremare (nuova versione),1978,ha curato musiche/sonoro per,June 1978,June 1978,Beat 72,Roma,"Beat 72, Roma",7
Andrea Ciullo,Quel giorno il pazzo si fermò: la deriva dei continenti,1978,ha diretto,20 December 1978,20 December 1978,Beat 72,Roma,"Beat 72, Roma",7
Andrea Ciullo,Quel giorno il pazzo si fermò: la deriva dei continenti,1978,testo/soggetto per,20 December 1978,20 December 1978,Beat 72,Roma,"Beat 72, Roma",7
Mirella Falco,Zip Lap Tip Vap Mam Crep Scap Plip Trip Scrap e la Grande Mam,1965,recitato in,30 September 1965,30 September 1965,Biennale di Venezia,Venezia,"Biennale di Venezia, Venezia",19
Rino Sudano,Zip Lap Tip Vap Mam Crep Scap Plip Trip Scrap e la Grande Mam,1965,recitato in,30 September 1965,30 September 1965,Biennale di Venezia,Venezia,"Biennale di Venezia, Venezia",19
Sabina de Guida,Zip Lap Tip Vap Mam Crep Scap Plip Trip Scrap e la Grande Mam,1965,recitato in,30 September 1965,30 September 1965,Biennale di Venezia,Venezia,"Biennale di Venezia, Venezia",19
Leo De Berardinis,Sciopero autonomo,1978,testo/soggetto per,11 December 1978,11 December 1978,Beat 72,Roma,"Beat 72, Roma",7
Adriana Cipriani,Moscheta,1965,recitato in,February 1965,February 1965,I.M.A.M. Aefer,Napoli,"I.M.A.M. Aefer, Napoli",14
Perla Peragallo,Sciopero autonomo,1978,testo/soggetto per,11 December 1978,11 December 1978,Beat 72,Roma,"Beat 72, Roma",7
Rossella Or,Respiro sospeso,1978,ha diretto,1978,1978,Beat 72,Roma,"Beat 72, Roma",7
Carlo De Simone,Moscheta,1965,recitato in,February 1965,February 1965,I.M.A.M. Aefer,Napoli,"I.M.A.M. Aefer, Napoli",14
Rossella Or,Respiro sospeso,1978,testo/soggetto per,1978,1978,Beat 72,Roma,"Beat 72, Roma",7
Luca Favini,Moscheta,1965,recitato in,February 1965,February 1965,I.M.A.M. Aefer,Napoli,"I.M.A.M. Aefer, Napoli",14
Andrea Fiorentino,Cronache marziane,1977,ha curato scene/costumi per,22 March 1977,22 March 1977,Beat 72,Roma,"Beat 72, Roma",7
Marcello Veneziale,Moscheta,1965,recitato in,February 1965,February 1965,I.M.A.M. Aefer,Napoli,"I.M.A.M. Aefer, Napoli",14
Matilde De Lellis,Moscheta,1965,recitato in,February 1965,February 1965,I.M.A.M. Aefer,Napoli,"I.M.A.M. Aefer, Napoli",14
Renato Romano,Moscheta,1965,recitato in,February 1965,February 1965,I.M.A.M. Aefer,Napoli,"I.M.A.M. Aefer, Napoli",14
Roberto Boriello,Moscheta,1965,recitato in,February 1965,February 1965,I.M.A.M. Aefer,Napoli,"I.M.A.M. Aefer, Napoli",14
Tony Fusaro,Moscheta,1965,recitato in,February 1965,February 1965,I.M.A.M. Aefer,Napoli,"I.M.A.M. Aefer, Napoli",14
Anna D'Offizzi,"Festival di S. Beckett (Aspettando Godot, Finale di partita, Atto senza parole II)",1965,recitato in,July 1965,July 1965,Teatro Mobile al Km 13 della via Flaminia,Roma,Teatro Mobile al Km 13 della via Flaminia,41
Cosimo Cinieri,"Festival di S. Beckett (Aspettando Godot, Finale di partita, Atto senza parole II)",1965,recitato in,July 1965,July 1965,Teatro Mobile al Km 13 della via Flaminia,Roma,Teatro Mobile al Km 13 della via Flaminia,41
Rossella Or,Esercizio n.1. Solo performance,1977,ha diretto,1977,1977,Beat 72,Roma,"Beat 72, Roma",7
Leo De Berardinis,"Festival di S. Beckett (Aspettando Godot, Finale di partita, Atto senza parole II)",1965,recitato in,July 1965,July 1965,Teatro Mobile al Km 13 della via Flaminia,Roma,Teatro Mobile al Km 13 della via Flaminia,41
Simone Carella,Il mistero dello Spettacolo. Marina.,1977,ha diretto,1977,1977,Beat 72,Roma,"Beat 72, Roma",7
Simone Carella,Il mistero dello Spettacolo. Marina.,1977,testo/soggetto per,1977,1977,Beat 72,Roma,"Beat 72, Roma",7
Alessandro Figurelli,Autodiffamazione,1976,ha curato scene/costumi per,31 January 1976,31 January 1976,Beat 72,Roma,"Beat 72, Roma",7
Simone Carella,Autodiffamazione,1976,ha diretto,31 January 1976,31 January 1976,Beat 72,Roma,"Beat 72, Roma",7
Simone Carella,Autodiffamazione,1976,testo/soggetto per,31 January 1976,31 January 1976,Beat 72,Roma,"Beat 72, Roma",7
Maria Grazia Grassini,"Festival di S. Beckett (Aspettando Godot, Finale di partita, Atto senza parole II)",1965,recitato in,July 1965,July 1965,Teatro Mobile al Km 13 della via Flaminia,Roma,Teatro Mobile al Km 13 della via Flaminia,41
Alessandra Vanzi,La rivolta degli oggetti,1976,adattamento del testo per,20 March 1976,20 March 1976,Beat 72,Roma,"Beat 72, Roma",7
Alessandra Vanzi,La rivolta degli oggetti,1976,ha diretto,20 March 1976,20 March 1976,Beat 72,Roma,"Beat 72, Roma",7
Rino Sudano,"Festival di S. Beckett (Aspettando Godot, Finale di partita, Atto senza parole II)",1965,recitato in,July 1965,July 1965,Teatro Mobile al Km 13 della via Flaminia,Roma,Teatro Mobile al Km 13 della via Flaminia,41
Domenico Bianchi,La rivolta degli oggetti,1976,ha curato scene/costumi per,20 March 1976,20 March 1976,Beat 72,Roma,"Beat 72, Roma",7
Domenico Bianchi,La rivolta degli oggetti,1976,ha curato scene/costumi per,20 March 1976,20 March 1976,Beat 72,Roma,"Beat 72, Roma",7
Gianni Dessì,La rivolta degli oggetti,1976,ha curato scene/costumi per,20 March 1976,20 March 1976,Beat 72,Roma,"Beat 72, Roma",7
Gianni Dessì,La rivolta degli oggetti,1976,ha curato scene/costumi per,20 March 1976,20 March 1976,Beat 72,Roma,"Beat 72, Roma",7
Giorgio Barberio Corsetti,La rivolta degli oggetti,1976,adattamento del testo per,20 March 1976,20 March 1976,Beat 72,Roma,"Beat 72, Roma",7
Giorgio Barberio Corsetti,La rivolta degli oggetti,1976,ha diretto,20 March 1976,20 March 1976,Beat 72,Roma,"Beat 72, Roma",7
Sabina de Guida,"Festival di S. Beckett (Aspettando Godot, Finale di partita, Atto senza parole II)",1965,recitato in,July 1965,July 1965,Teatro Mobile al Km 13 della via Flaminia,Roma,Teatro Mobile al Km 13 della via Flaminia,41
Marco Solari,La rivolta degli oggetti,1976,adattamento del testo per,20 March 1976,20 March 1976,Beat 72,Roma,"Beat 72, Roma",7
Marco Solari,La rivolta degli oggetti,1976,ha diretto,20 March 1976,20 March 1976,Beat 72,Roma,"Beat 72, Roma",7
Alfiero Vincenti,Manon,1965,recitato in,2 January 1965,2 January 1965,Teatro Arlecchino,Roma,"Teatro Arlecchino, Roma",17
Vladimir Majakovskij,La rivolta degli oggetti,1976,testo/soggetto per,20 March 1976,20 March 1976,Beat 72,Roma,"Beat 72, Roma",7
Lydia Mancinelli,Manon,1965,recitato in,2 January 1965,2 January 1965,Teatro Arlecchino,Roma,"Teatro Arlecchino, Roma",17
Rosa Bianca Scerrino,Manon,1965,recitato in,2 January 1965,2 January 1965,Teatro Arlecchino,Roma,"Teatro Arlecchino, Roma",17
Anna D'Offizzi,I sigari di Jupiter,1965,recitato in,September 1965,September 1965,Teatro Biondo,Palermo,"Teatro Biondo, Palermo",13
Domenico Bianchi,Viaggio sentimentale e oltre,1976,ha curato scene/costumi per,27 May 1976,27 May 1976,Beat 72,Roma,"Beat 72, Roma",7
Gianni Dessì,Viaggio sentimentale e oltre,1976,ha curato scene/costumi per,27 May 1976,27 May 1976,Beat 72,Roma,"Beat 72, Roma",7
Marco Pistolesi,Viaggio sentimentale e oltre,1976,ha curato scene/costumi per,27 May 1976,27 May 1976,Beat 72,Roma,"Beat 72, Roma",7
Simone Carella,Viaggio sentimentale e oltre,1976,ha diretto,27 May 1976,27 May 1976,Beat 72,Roma,"Beat 72, Roma",7
Simone Carella,Viaggio sentimentale e oltre,1976,testo/soggetto per,27 May 1976,27 May 1976,Beat 72,Roma,"Beat 72, Roma",7
Ulisse Benedetti,Viaggio sentimentale e oltre,1976,testo/soggetto per,27 May 1976,27 May 1976,Beat 72,Roma,"Beat 72, Roma",7
Claudio Remondi,I sigari di Jupiter,1965,recitato in,September 1965,September 1965,Teatro Biondo,Palermo,"Teatro Biondo, Palermo",13
Cosimo Cinieri,I sigari di Jupiter,1965,recitato in,September 1965,September 1965,Teatro Biondo,Palermo,"Teatro Biondo, Palermo",13
Edoardo Torricella,I sigari di Jupiter,1965,recitato in,September 1965,September 1965,Teatro Biondo,Palermo,"Teatro Biondo, Palermo",13
Peter Handke,Cavalcata sul lago di Costanza [Carella '75],1975,testo/soggetto per,21 December 1975,21 December 1975,Beat 72,Roma,"Beat 72, Roma",7
Giampiero Fortebraccio,I sigari di Jupiter,1965,recitato in,September 1965,September 1965,Teatro Biondo,Palermo,"Teatro Biondo, Palermo",13
Simone Carella,Cavalcata sul lago di Costanza [Carella '75],1975,ha diretto,21 December 1975,21 December 1975,Beat 72,Roma,"Beat 72, Roma",7
Leo De Berardinis,I sigari di Jupiter,1965,recitato in,September 1965,September 1965,Teatro Biondo,Palermo,"Teatro Biondo, Palermo",13
Alessandro Figurelli,La morte di Danton,1975,ha curato scene/costumi per,10 June 1975,10 June 1975,Beat 72,Roma,"Beat 72, Roma",7
Luigi Castejon,I sigari di Jupiter,1965,recitato in,September 1965,September 1965,Teatro Biondo,Palermo,"Teatro Biondo, Palermo",13
Maria Grazia Grassini,I sigari di Jupiter,1965,recitato in,September 1965,September 1965,Teatro Biondo,Palermo,"Teatro Biondo, Palermo",13
Georg Buchner,La morte di Danton,1975,testo/soggetto per,10 June 1975,10 June 1975,Beat 72,Roma,"Beat 72, Roma",7
Rino Sudano,I sigari di Jupiter,1965,recitato in,September 1965,September 1965,Teatro Biondo,Palermo,"Teatro Biondo, Palermo",13
Sabina de Guida,I sigari di Jupiter,1965,recitato in,September 1965,September 1965,Teatro Biondo,Palermo,"Teatro Biondo, Palermo",13
Francesca Benedetti,Poesie di Beckett,1965,recitato in,October 1965,October 1965,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Lidia Biondi,Poesie di Beckett,1965,recitato in,October 1965,October 1965,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Virginio Gazzolo,Iperipotesi,1965,recitato in,June 1965,June 1965,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Simone Carella,La morte di Danton,1975,ha diretto,10 June 1975,10 June 1975,Beat 72,Roma,"Beat 72, Roma",7
Antonello Nerri,La festa,1974,ha curato musiche/sonoro per,15 October 1974,15 October 1974,Beat 72,Roma,"Beat 72, Roma",7
Francesca Benedetti,Allen Ginsberg,1965,recitato in,November 1965,November 1965,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Lucia Poli,La festa,1974,ha diretto,15 October 1974,15 October 1974,Beat 72,Roma,"Beat 72, Roma",7
Lidia Biondi,Allen Ginsberg,1965,recitato in,November 1965,November 1965,Teatro dei 101,Roma,"Teatro dei 101, Roma",14
Lucia Poli,La festa,1974,testo/soggetto per,15 October 1974,15 October 1974,Beat 72,Roma,"Beat 72, Roma",7
Compagnia Filodrammatica dell'Italsider,Cartoteca,1965,recitato in,20 May 1965,20 May 1965,Teatro della Fiera,Roma,"Teatro della Fiera, Roma",18
Antonello Neri,L'angelo custode,1973,ha curato musiche/sonoro per,4 April 1973,4 April 1973,Beat 72,Roma,"Beat 72, Roma",7
Fleur Jaeggy,L'angelo custode,1973,testo/soggetto per,4 April 1973,4 April 1973,Beat 72,Roma,"Beat 72, Roma",7
Mario Ricci,Flash Fiction,1965,recitato in,May 1965,May 1965,Teatro Club Orsoline 15,Roma,"Teatro Club Orsoline 15, Roma",23
Giorgio Marini,L'angelo custode,1973,ha diretto,4 April 1973,4 April 1973,Beat 72,Roma,"Beat 72, Roma",7
Claudio Previtera,Varietà,1965,recitato in,December 1965,December 1965,Teatro Club Orsoline 15,Roma,"Teatro Club Orsoline 15, Roma",23
Sabina de Guida,Varietà,1965,recitato in,December 1965,December 1965,Teatro Club Orsoline 15,Roma,"Teatro Club Orsoline 15, Roma",23
Michico Nojiri,L'angelo custode,1973,ha curato scene/costumi per,4 April 1973,4 April 1973,Beat 72,Roma,"Beat 72, Roma",7
Roberto Palazzi,L'angelo custode,1973,ha curato scene/costumi per,4 April 1973,4 April 1973,Beat 72,Roma,"Beat 72, Roma",7
Bruno Mazzali,Insulti al pubblico,1973,ha diretto,12 December 1973,12 December 1973,Beat 72,Roma,"Beat 72, Roma",7
Peter Handke,Insulti al pubblico,1973,testo/soggetto per,12 December 1973,12 December 1973,Beat 72,Roma,"Beat 72, Roma",7
Tonino Campanelli,Varietà,1965,recitato in,December 1965,December 1965,Teatro Club Orsoline 15,Roma,"Teatro Club Orsoline 15, Roma",23
Peter Handke,Profezia,1973,testo/soggetto per,10 December 1973,10 December 1973,Beat 72,Roma,"Beat 72, Roma",7
Simone Carella,Profezia,1973,ha diretto,10 December 1973,10 December 1973,Beat 72,Roma,"Beat 72, Roma",7
Mario Ricci,Balletto due,1965,recitato in,April 1965,April 1965,Teatro Club Orsoline 15,Roma,"Teatro Club Orsoline 15, Roma",23
Carlo Vitali,A,1965,recitato in,March 1965,March 1965,Teatro Club Orsoline 15,Roma,"Teatro Club Orsoline 15, Roma",23
Mario Ricci,A,1965,recitato in,March 1965,March 1965,Teatro Club Orsoline 15,Roma,"Teatro Club Orsoline 15, Roma",23
Alberto Grifi,Bandi per Virulentia,1965,altro tipo di collaborazione,1965,1965,,Roma,Roma,0
Anita Masini,Bandi per Virulentia,1965,altro tipo di collaborazione,1965,1965,,Roma,Roma,0
Cale Cogik,Bandi per Virulentia,1965,altro tipo di collaborazione,1965,1965,,Roma,Roma,0
Memè Perlini,Pirandello chi?,1973,ha diretto,3 January 1973,3 January 1973,Beat 72,Roma,"Beat 72, Roma",7
Memè Perlini,Pirandello chi?,1973,testo/soggetto per,3 January 1973,3 January 1973,Beat 72,Roma,"Beat 72, Roma",7
Carlo Cecchi,Bandi per Virulentia,1965,altro tipo di collaborazione,1965,1965,,Roma,Roma,0
Dominot Schreiber,Bandi per Virulentia,1965,altro tipo di collaborazione,1965,1965,,Roma,Roma,0
Ermanno Agatti,Bandi per Virulentia,1965,altro tipo di collaborazione,1965,1965,,Roma,Roma,0
Bruno Mazzali,Theatre Piece,1973,ha diretto,15 May 1973,15 May 1973,Beat 72,Roma,"Beat 72, Roma",7
Giancarlo Nanni,Bandi per Virulentia,1965,altro tipo di collaborazione,1965,1965,,Roma,Roma,0
Gianni Proiettis,Bandi per Virulentia,1965,altro tipo di collaborazione,1965,1965,,Roma,Roma,0
Gioacchino Saitto,Bandi per Virulentia,1965,altro tipo di collaborazione,1965,1965,,Roma,Roma,0
John Cage,Theatre Piece,1973,testo/soggetto per,15 May 1973,15 May 1973,Beat 72,Roma,"Beat 72, Roma",7
Isabel Ruth,Bandi per Virulentia,1965,altro tipo di collaborazione,1965,1965,,Roma,Roma,0
Lidija Yuravic,Bandi per Virulentia,1965,altro tipo di collaborazione,1965,1965,,Roma,Roma,0
Lou Castel,Bandi per Virulentia,1965,altro tipo di collaborazione,1965,1965,,Roma,Roma,0
Manuela Kustermann,Bandi per Virulentia,1965,altro tipo di collaborazione,1965,1965,,Roma,Roma,0
Memè Perlini,Bandi per Virulentia,1965,altro tipo di collaborazione,1965,1965,,Roma,Roma,0
Patrizia Vicinelli,Bandi per Virulentia,1965,altro tipo di collaborazione,1965,1965,,Roma,Roma,0
Sergio Doria,Bandi per Virulentia,1965,altro tipo di collaborazione,1965,1965,,Roma,Roma,0
Lydia Mancinelli,Nostra Signora dei Turchi [Bene '66],1966,recitato in,1 December 1966,1 December 1966,Beat 72,Roma,"Beat 72, Roma",7
Irving Shaw,Seppellire i morti,1972,testo/soggetto per,15 April 1972,15 April 1972,Beat 72,Roma,"Beat 72, Roma",7
Maria Matteucci,Seppellire i morti,1972,ha curato scene/costumi per,15 April 1972,15 April 1972,Beat 72,Roma,"Beat 72, Roma",7
Pippo Di Marca,Seppellire i morti,1972,ha diretto,15 April 1972,15 April 1972,Beat 72,Roma,"Beat 72, Roma",7
Margherita Puratich,Nostra Signora dei Turchi [Bene '66],1966,recitato in,1 December 1966,1 December 1966,Beat 72,Roma,"Beat 72, Roma",7
Carol Lobravico Berger,Sudcombinatorium e Rito Money,1966,recitato in,9 June 1966,9 June 1966,Beat 72,Roma,"Beat 72, Roma",7
Ugo Sterpini,Seppellire i morti,1972,ha curato scene/costumi per,15 April 1972,15 April 1972,Beat 72,Roma,"Beat 72, Roma",7
Evelina Borsetti,Sudcombinatorium e Rito Money,1966,recitato in,9 June 1966,9 June 1966,Beat 72,Roma,"Beat 72, Roma",7
Alfred Jarry,Ubu re,1972,testo/soggetto per,15 March 1972,15 March 1972,Beat 72,Roma,"Beat 72, Roma",7
Alvin Curran,Ubu re,1972,ha curato musiche/sonoro per,15 March 1972,15 March 1972,Beat 72,Roma,"Beat 72, Roma",7
Antonio Obino,Ubu re,1972,ha diretto,15 March 1972,15 March 1972,Beat 72,Roma,"Beat 72, Roma",7
Gian Carlo Celli,Sudcombinatorium e Rito Money,1966,recitato in,9 June 1966,9 June 1966,Beat 72,Roma,"Beat 72, Roma",7
Bruno Mazzali,Ubu re,1972,ha diretto,15 March 1972,15 March 1972,Beat 72,Roma,"Beat 72, Roma",7
Lydia Biondi,Sudcombinatorium e Rito Money,1966,recitato in,9 June 1966,9 June 1966,Beat 72,Roma,"Beat 72, Roma",7
Franco Turi,Ubu re,1972,ha diretto,15 March 1972,15 March 1972,Beat 72,Roma,"Beat 72, Roma",7
Paolo Frongia,Sudcombinatorium e Rito Money,1966,recitato in,9 June 1966,9 June 1966,Beat 72,Roma,"Beat 72, Roma",7
Giovanna Benedetto,Ubu re,1972,ha diretto,15 March 1972,15 March 1972,Beat 72,Roma,"Beat 72, Roma",7
Lydia Biondi,A soggetto,1966,recitato in,3 May 1966,3 May 1966,Cab 37,Roma,"Cab 37, Roma",6
Marco Del Re,Ubu re,1972,ha diretto,15 March 1972,15 March 1972,Beat 72,Roma,"Beat 72, Roma",7
Marcello Curti,A soggetto,1966,recitato in,3 May 1966,3 May 1966,Cab 37,Roma,"Cab 37, Roma",6
Rosa Di Lucia,Ubu re,1972,ha diretto,15 March 1972,15 March 1972,Beat 72,Roma,"Beat 72, Roma",7
Sergio Doria,A soggetto,1966,recitato in,3 May 1966,3 May 1966,Cab 37,Roma,"Cab 37, Roma",6
Antonietta Lambroni,La magia della farfalla,1966,recitato in,27 December 1966,27 December 1966,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Agostino Raff,le 120 giornate di Sodoma,1972,ha curato musiche/sonoro per,16 November 1972,16 November 1972,Beat 72,Roma,"Beat 72, Roma",7
Agostino Raff,le 120 giornate di Sodoma,1972,ha curato scene/costumi per,16 November 1972,16 November 1972,Beat 72,Roma,"Beat 72, Roma",7
Davide Maria Avecone,La magia della farfalla,1966,recitato in,27 December 1966,27 December 1966,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Franco D'Amato,La magia della farfalla,1966,recitato in,27 December 1966,27 December 1966,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Giancarlo Palermo,La magia della farfalla,1966,recitato in,27 December 1966,27 December 1966,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Giuliano Vasilicò,le 120 giornate di Sodoma,1972,ha diretto,16 November 1972,16 November 1972,Beat 72,Roma,"Beat 72, Roma",7
Giuliano Vasilicò,le 120 giornate di Sodoma,1972,testo/soggetto per,16 November 1972,16 November 1972,Beat 72,Roma,"Beat 72, Roma",7
Gino Ortieri,La magia della farfalla,1966,recitato in,27 December 1966,27 December 1966,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Maria Capocci,La magia della farfalla,1966,recitato in,27 December 1966,27 December 1966,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Paolo Falace,La magia della farfalla,1966,recitato in,27 December 1966,27 December 1966,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Silvana Buzzo,La magia della farfalla,1966,recitato in,27 December 1966,27 December 1966,Centro Teatro Esse,Napoli,"Centro Teatro Esse, Napoli",18
Aldo Braidanti,Il bando per Virulentia,1966,recitato in,14 March 1966,14 March 1966,Galleria Margutta,Roma,"Galleria Margutta, Roma",17
Manuela Kustermann,Il bando per Virulentia,1966,recitato in,14 March 1966,14 March 1966,Galleria Margutta,Roma,"Galleria Margutta, Roma",17
Angela Diana,Sacrificio Edilizio,1966,recitato in,April 1966,April 1966,Festival internazionale del Teatro Universitario,Parma,"Festival internazionale del Teatro Universitario, Parma",48
Claudio Previtera,Sacrificio Edilizio,1966,recitato in,April 1966,April 1966,Festival internazionale del Teatro Universitario,Parma,"Festival internazionale del Teatro Universitario, Parma",48
Carlo Quartucci,Aspettando Godot [Quartucci '59],1959,ha diretto,September 1959,September 1959,Teatro Brancaccio,Roma,Teatro Brancaccio,17
Deborah Hayes,Sacrificio Edilizio,1966,recitato in,April 1966,April 1966,Festival internazionale del Teatro Universitario,Parma,"Festival internazionale del Teatro Universitario, Parma",48
